Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
5213203, 1, 1, 0, 1, 0, 1, 
5226536, 1, 1, 0, 1, 0, 1, 
5239869, 1, 1, 0, 1, 0, 1, 
5253202, 1, 1, 0, 1, 0, 1, 
5266535, 1, 1, 0, 1, 0, 1, 
5279868, 1, 1, 0, 1, 0, 1, 
5293201, 1, 1, 0, 1, 0, 1, 
5306534, 1, 1, 0, 1, 0, 1, 
5319867, 1, 1, 0, 1, 0, 1, 
5333200, 1, 1, 0, 1, 0, 1, 
5346533, 1, 1, 0, 1, 0, 1, 
5359866, 1, 1, 0, 1, 0, 1, 
5373199, 1, 1, 0, 1, 0, 1, 
5386532, 1, 1, 0, 1, 0, 1, 
5399865, 1, 1, 0, 1, 0, 1, 
5413198, 1, 1, 0, 1, 0, 1, 
5426531, 1, 1, 0, 1, 0, 1, 
5439864, 1, 1, 0, 1, 0, 1, 
5453197, 1, 1, 0, 1, 0, 1, 
5466530, 1, 1, 0, 1, 0, 1, 
5479863, 1, 1, 0, 1, 0, 1, 
5493196, 1, 1, 0, 1, 0, 1, 
5506529, 1, 1, 0, 1, 0, 1, 
5519862, 1, 1, 0, 1, 0, 1, 
5533195, 1, 1, 0, 1, 0, 1, 
5546528, 1, 1, 0, 1, 0, 1, 
5559861, 1, 1, 0, 1, 0, 1, 
5573194, 1, 1, 0, 1, 0, 1, 
5586527, 1, 1, 0, 1, 0, 1, 
5599860, 1, 1, 0, 1, 0, 1, 
5613193, 1, 1, 0, 1, 0, 1, 
5626526, 1, 1, 0, 1, 0, 1, 
5639859, 1, 1, 0, 1, 0, 1, 
5653192, 1, 1, 0, 1, 0, 1, 
5666525, 1, 1, 0, 1, 0, 1, 
5679858, 1, 1, 0, 1, 0, 1, 
5693191, 1, 1, 0, 1, 0, 1, 
5706524, 1, 1, 0, 1, 0, 1, 
5719857, 1, 1, 0, 1, 0, 1, 
5733190, 1, 1, 0, 1, 0, 1, 
5746523, 1, 1, 0, 1, 0, 1, 
5759856, 1, 1, 0, 1, 0, 1, 
5773189, 1, 1, 0, 1, 0, 1, 
5786522, 1, 1, 0, 1, 0, 1, 
5799855, 1, 1, 0, 1, 0, 1, 
5813188, 1, 1, 0, 1, 0, 1, 
5826521, 1, 1, 0, 1, 0, 1, 
5839854, 1, 1, 0, 1, 0, 1, 
5853187, 1, 1, 0, 1, 0, 1, 
5866520, 1, 1, 0, 1, 0, 1, 
5879853, 1, 1, 0, 1, 0, 1, 
5893186, 1, 1, 0, 1, 0, 1, 
5906519, 1, 1, 0, 1, 0, 1, 
5919852, 1, 1, 0, 1, 0, 1, 
5933185, 1, 1, 0, 1, 0, 1, 
5946518, 1, 1, 0, 1, 0, 1, 
5959851, 1, 1, 0, 1, 0, 1, 
5973184, 1, 1, 0, 1, 0, 1, 
